               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.050761,            0.017665,                   0,             0.99802,             0.99681,               0.995,             0.63661,             0.02368,           0.0071349,                   0,            0.070044,           0.0033285,           0.0033285
                   1,            0.033616,           0.0098726,                   0,             0.99994,                   1,               0.995,             0.78654,            0.016705,           0.0047203,                   0,            0.040022,           0.0066398,           0.0066398
                   2,            0.028328,           0.0080499,                   0,             0.99997,                   1,               0.995,             0.83561,            0.014807,           0.0039498,                   0,           0.0099778,           0.0099292,           0.0099292
                   3,            0.022992,           0.0069859,                   0,             0.99997,                   1,               0.995,              0.8757,            0.012449,           0.0034654,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.019214,              0.0062,                   0,             0.99997,                   1,               0.995,             0.90384,           0.0095541,           0.0029736,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.016802,           0.0057455,                   0,             0.99998,                   1,               0.995,             0.90941,           0.0095016,            0.002841,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.015679,           0.0053944,                   0,             0.99998,                   1,               0.995,             0.93438,            0.007898,           0.0026719,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.014635,           0.0052474,                   0,             0.99996,                   1,               0.995,             0.93843,           0.0076147,            0.002546,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.014074,           0.0050754,                   0,             0.99998,                   1,               0.995,             0.93603,           0.0076378,           0.0024895,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.013212,           0.0048461,                   0,             0.99998,                   1,               0.995,             0.93781,           0.0071444,           0.0024341,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.013046,           0.0049401,                   0,             0.99998,                   1,               0.995,             0.93663,           0.0071154,            0.002347,                   0,            0.009703,            0.009703,            0.009703
